GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang Collections,org.klojang.collections,ArraySet.new Iterator() {...},0,42,0,2,0,5,0,4,0,3
Klojang Collections,org.klojang.collections,WiredList.ListItr,7,223,3,17,1,37,3,18,0,11
Klojang Collections,org.klojang.collections,FixedTypeMap,4,20,0,0,1,6,1,4,1,4
Klojang Collections,org.klojang.collections,BasicTypeComparator,0,84,1,21,0,22,1,13,0,3
Klojang Collections,org.klojang.collections,ImmutableMap,52,3,0,0,13,1,13,1,13,1
Klojang Collections,org.klojang.collections,TypeSet,135,0,2,0,26,0,23,0,22,0
Klojang Collections,org.klojang.collections,WiredList.ForwardWiredIterator,0,395,0,12,0,66,0,20,0,14
Klojang Collections,org.klojang.collections,ImmutableSet,28,3,0,0,7,1,7,1,7,1
Klojang Collections,org.klojang.collections,WiredList.new Iterator() {...},0,44,0,2,0,7,0,4,0,3
Klojang Collections,org.klojang.collections,WiredList.new Iterator() {...},0,44,0,2,0,7,0,4,0,3
Klojang Collections,org.klojang.collections,AbstractTypeSet,88,0,2,0,15,0,12,0,11,0
Klojang Collections,org.klojang.collections,TypeMap,4,112,0,0,1,24,1,12,1,12
Klojang Collections,org.klojang.collections,TypeTreeMap,5,37,0,0,1,10,1,6,1,6
Klojang Collections,org.klojang.collections,TypeSet.new AbstractTypeSet() {...},21,0,0,0,5,0,2,0,2,0
Klojang Collections,org.klojang.collections,TypeSet.new AbstractTypeSet() {...},21,0,0,0,5,0,2,0,2,0
Klojang Collections,org.klojang.collections,TypeSet.new AbstractTypeSet() {...},21,0,0,0,5,0,2,0,2,0
Klojang Collections,org.klojang.collections,NativeTypeMapBuilder,18,134,0,8,3,26,2,9,2,5
Klojang Collections,org.klojang.collections,FixedTypeMapBuilder,18,55,0,0,2,11,2,6,2,6
Klojang Collections,org.klojang.collections,GreedyTypeMapBuilder,18,46,0,0,2,10,2,4,2,4
Klojang Collections,org.klojang.collections,WiredList,52,2333,15,245,8,542,19,213,5,97
Klojang Collections,org.klojang.collections,TypeSet.new AbstractTypeSet() {...},21,0,0,0,5,0,2,0,2,0
Klojang Collections,org.klojang.collections,NativeTypeMapBuilder.WritableTypeNode,15,173,3,21,5,46,2,16,0,6
Klojang Collections,org.klojang.collections,TypeNode,0,340,0,36,0,56,0,32,0,14
Klojang Collections,org.klojang.collections,GreedyTypeMap,18,389,0,56,4,98,4,48,4,20
Klojang Collections,org.klojang.collections,WiredList.Node,4,21,0,0,1,7,1,3,1,3
Klojang Collections,org.klojang.collections,WiredList.ReverseWiredIterator,0,399,0,12,0,66,0,20,0,14
Klojang Collections,org.klojang.collections,WiredList.Chain,9,86,0,6,1,14,3,6,3,3
Klojang Collections,org.klojang.collections,NonExpandingTypeMap,13,285,0,50,3,75,3,38,3,13
Klojang Collections,org.klojang.collections,PrettyTypeComparator,149,0,42,0,45,0,23,0,2,0
Klojang Collections,org.klojang.collections,ArraySet,132,110,29,9,27,25,22,12,6,9
Klojang Collections,org.klojang.collections,TreeTypeMapBuilder,18,49,0,0,2,10,2,4,2,4
Klojang Collections,org.klojang.collections,NativeTypeMap,49,356,14,52,12,77,13,35,3,12
